item,true,false,accuracy,precision,recall,f0,accuracy_sum
0,93.0,7.0,0.93,0.93,1.0,0.93,0.93

1,92.0,8.0,0.92,0.92,1.0,0.92,0.925

2,90.0,10.0,0.9,0.9,1.0,0.9,0.9166666666666666

3,89.0,11.0,0.89,0.89,1.0,0.89,0.91

4,81.0,19.0,0.81,0.81,1.0,0.81,0.89

5,90.0,10.0,0.9,0.9,1.0,0.9,0.8916666666666667

6,93.0,7.0,0.93,0.93,1.0,0.93,0.8971428571428571

7,85.0,15.0,0.85,0.85,1.0,0.85,0.89125

8,66.0,34.0,0.66,0.66,1.0,0.66,0.8655555555555555

9,79.0,21.0,0.79,0.79,1.0,0.79,0.858

10,64.0,36.0,0.64,0.64,1.0,0.64,0.8381818181818181

11,74.0,26.0,0.74,0.74,1.0,0.74,0.83

12,66.0,34.0,0.66,0.66,1.0,0.66,0.816923076923077

13,68.0,32.0,0.68,0.68,1.0,0.68,0.8071428571428572

14,76.0,24.0,0.76,0.76,1.0,0.76,0.804

15,36.0,64.0,0.36,0.36,1.0,0.36,0.77625

16,41.0,59.0,0.41,0.41,1.0,0.41,0.7547058823529412

17,38.0,62.0,0.38,0.38,1.0,0.38,0.7338888888888889

18,50.0,50.0,0.5,0.5,1.0,0.5,0.7215789473684211

19,46.0,54.0,0.46,0.46,1.0,0.46,0.7085

20,33.0,67.0,0.33,0.33,1.0,0.33,0.6904761904761905

21,46.0,54.0,0.46,0.46,1.0,0.46,0.68

22,55.0,45.0,0.55,0.55,1.0,0.55,0.6743478260869565

23,49.0,51.0,0.49,0.49,1.0,0.49,0.6666666666666666

24,49.0,51.0,0.49,0.49,1.0,0.49,0.6596

25,53.0,47.0,0.53,0.53,1.0,0.53,0.6546153846153846

26,47.0,53.0,0.47,0.47,1.0,0.47,0.6477777777777778

27,43.0,57.0,0.43,0.43,1.0,0.42999999999999994,0.64

28,44.0,56.0,0.44,0.44,1.0,0.44,0.6331034482758621

29,45.0,55.0,0.45,0.45,1.0,0.45,0.627

30,57.0,43.0,0.57,0.57,1.0,0.57,0.6251612903225806

31,64.0,36.0,0.64,0.64,1.0,0.64,0.625625

32,68.0,32.0,0.68,0.68,1.0,0.68,0.6272727272727273

33,70.0,30.0,0.7,0.7,1.0,0.7,0.6294117647058823

34,59.0,41.0,0.59,0.59,1.0,0.59,0.6282857142857143

35,66.0,34.0,0.66,0.66,1.0,0.66,0.6291666666666667

36,64.0,36.0,0.64,0.64,1.0,0.64,0.6294594594594595

37,82.0,18.0,0.82,0.82,1.0,0.82,0.6344736842105263

38,91.0,9.0,0.91,0.91,1.0,0.91,0.6415384615384615

39,93.0,7.0,0.93,0.93,1.0,0.93,0.64875

40,95.0,5.0,0.95,0.95,1.0,0.9500000000000001,0.6560975609756098

41,92.0,8.0,0.92,0.92,1.0,0.92,0.6623809523809524

42,94.0,6.0,0.94,0.94,1.0,0.94,0.6688372093023256

43,92.0,8.0,0.92,0.92,1.0,0.92,0.6745454545454546

44,92.0,8.0,0.92,0.92,1.0,0.92,0.68

45,42.0,58.0,0.42,0.42,1.0,0.41999999999999993,0.6743478260869565

46,41.0,59.0,0.41,0.41,1.0,0.41,0.6687234042553192

47,44.0,56.0,0.44,0.44,1.0,0.44,0.6639583333333333

48,36.0,64.0,0.36,0.36,1.0,0.36,0.6577551020408163

49,47.0,53.0,0.47,0.47,1.0,0.47,0.654

50,44.0,56.0,0.44,0.44,1.0,0.44,0.6498039215686274

51,46.0,54.0,0.46,0.46,1.0,0.46,0.6461538461538462

52,62.0,38.0,0.62,0.62,1.0,0.62,0.6456603773584906

53,87.0,13.0,0.87,0.87,1.0,0.87,0.6498148148148148

54,90.0,10.0,0.9,0.9,1.0,0.9,0.6543636363636364

55,81.0,19.0,0.81,0.81,1.0,0.81,0.6571428571428571

56,89.0,11.0,0.89,0.89,1.0,0.89,0.6612280701754386

57,90.0,10.0,0.9,0.9,1.0,0.9,0.6653448275862069

58,84.0,16.0,0.84,0.84,1.0,0.8399999999999999,0.6683050847457627

59,89.0,11.0,0.89,0.89,1.0,0.89,0.672

60,94.0,6.0,0.94,0.94,1.0,0.94,0.6763934426229509

61,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.6793548387096774

62,95.0,5.0,0.95,0.95,1.0,0.9500000000000001,0.6836507936507936

63,88.0,12.0,0.88,0.88,1.0,0.88,0.68671875

64,90.0,10.0,0.9,0.9,1.0,0.9,0.69

65,88.0,12.0,0.88,0.88,1.0,0.88,0.6928787878787879

66,92.0,8.0,0.92,0.92,1.0,0.92,0.6962686567164179

67,79.0,21.0,0.79,0.79,1.0,0.79,0.6976470588235294

68,60.0,40.0,0.6,0.6,1.0,0.6,0.696231884057971

69,62.0,38.0,0.62,0.62,1.0,0.62,0.6951428571428572

70,56.0,44.0,0.56,0.56,1.0,0.56,0.6932394366197183

71,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.69375

72,65.0,35.0,0.65,0.65,1.0,0.65,0.6931506849315069

73,61.0,39.0,0.61,0.61,1.0,0.61,0.692027027027027

74,66.0,34.0,0.66,0.66,1.0,0.66,0.6916

75,88.0,12.0,0.88,0.88,1.0,0.88,0.694078947368421

76,92.0,8.0,0.92,0.92,1.0,0.92,0.697012987012987

77,90.0,10.0,0.9,0.9,1.0,0.9,0.6996153846153846

78,91.0,9.0,0.91,0.91,1.0,0.91,0.7022784810126582

79,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.70425

80,85.0,15.0,0.85,0.85,1.0,0.85,0.7060493827160493

81,88.0,12.0,0.88,0.88,1.0,0.88,0.708170731707317

82,88.0,12.0,0.88,0.88,1.0,0.88,0.7102409638554217

83,91.0,9.0,0.91,0.91,1.0,0.91,0.7126190476190476

84,93.0,7.0,0.93,0.93,1.0,0.93,0.7151764705882353

85,90.0,10.0,0.9,0.9,1.0,0.9,0.7173255813953489

86,83.0,17.0,0.83,0.83,1.0,0.83,0.7186206896551725

87,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.7202272727272727

88,89.0,11.0,0.89,0.89,1.0,0.89,0.7221348314606741

89,91.0,9.0,0.91,0.91,1.0,0.91,0.7242222222222222

90,69.0,31.0,0.69,0.69,1.0,0.69,0.7238461538461538

91,69.0,31.0,0.69,0.69,1.0,0.69,0.7234782608695652

92,79.0,21.0,0.79,0.79,1.0,0.79,0.7241935483870968

93,75.0,25.0,0.75,0.75,1.0,0.75,0.7244680851063829

94,70.0,30.0,0.7,0.7,1.0,0.7,0.7242105263157895

95,74.0,26.0,0.74,0.74,1.0,0.74,0.724375

96,69.0,31.0,0.69,0.69,1.0,0.69,0.7240206185567011

97,75.0,25.0,0.75,0.75,1.0,0.75,0.7242857142857143

98,73.0,27.0,0.73,0.73,1.0,0.7299999999999999,0.7243434343434343

